Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
6a6782ff0048be46f058ce82debf7b99	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
f0d1d330f9c09d272323ea5506e7206f	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Cryptosporiopsis	s__unidentified
ebc437546bdb391b539379d285569c40	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__Umbelopsidales	f__Umbelopsidaceae	g__Umbelopsis	
4c9678f7719bfe429ae58c55c7cfea66	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Mycosymbioces	s__unidentified
d98caa0a2d02b5d2102047b2437b0b44	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavaria	s__Clavaria_argillacea
bdbc022ad347a4ab5e71ae527f339326	k__Fungi						
3107bb64bf3d5d1a45b4050e8208144e	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	g__Auricularia	s__unidentified
5d8eb381f880ecfe626286e3bcb0c2b6	k__Fungi						
2f927099b0dbb5422f0b02c57993506a	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Cryptosporiopsis	s__unidentified
5ed71a3c5ceee0777ad2e9d4f4698679	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
dc4b8206226fe122ad71d1bca200d7a2	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Amphinema	s__Amphinema_byssoides
e76848b967f57687f5736b8eb0e075be	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unidentified	s__unidentified
f6bcc6cf081dd134e6155cf3c6aabc09	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales			
2418bff16c55b271de0826d5e3167ff4	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae		
8b2ada8e27b8dd15f8759e9c7ed7586f	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unidentified	s__unidentified
ecf2633a014f320ef9a49eb0665b70c9	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Cryptosporiopsis	s__unidentified
eb27bb1dd6ace6c6470c7c673635726c	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_pulchella
d4af8bb97dd235eca35a4e8c673bd292	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
105d83ade1229a9479c17656bc0e6e71	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
8a5e2aa25a8d630afa46c0724e06129a	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae		
5e588e0084fdafbab8d5d6355916a6f1	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
6878b05f6ef14cccffcd41fd30998944	k__Fungi	p__Ascomycota	c__Leotiomycetes				
0dadb8d8560a89109b3e54e85a7d9696	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
6490cbbabd0724c0911097c7fda9df1d	k__Fungi	p__Ascomycota					
4b8c20600275121dc3aa8cae515caf83	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Piloderma	s__Piloderma_sphaerosporum
7dd2f7a7954c7ca5de895d266e039279	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
6f1ed475ab10ae00ea906019bcd88d5d	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unidentified	s__unidentified
43374ed5a3812473ea74edbd86b2c62f	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unidentified	g__unidentified	s__unidentified
02fd49e3337838f289b4f522630cda12	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
38b7a855271183be73a71f6ab3deee55	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Rhizopogonaceae	g__Rhizopogon	s__Rhizopogon_roseolus
9df2ae4d47ce2c77d4771e29e349ee09	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_minutissima
792fb777f05555958d4a7066d2e41405	k__Fungi	p__Ascomycota					
1fcea0ceddcb1eebdaba0ea389914879	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
87d7a5a0ac7d50b1607b013fec393db4	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__Rhodotorula_toruloides
c3c5afce0bbef6826951f05992ef4366	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
eebc7a437be70ea14976a7d9f7456c3c	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
03ba1ead450a769e642b85c754df5854	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Collophora	s__unidentified
6157e6a8b700121d5a0e570f9473379b	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Boletaceae	g__Leccinum	s__Leccinum_scabrum
